aal;угорь
kräftig;сильный,крепкий
krähe;ворона
kränkeln;прихварывать,хворать
kränken;обижать,оскорблять
kränkend;обидный
kränklich;болезненный,слабый
kränkung;обида
kräuseln;завивать
krönung;коронация,коронование
krücke;костыль
krümeln;крошить,крошиться
krümmen;сгибать,изгибать
krümmung;изгиб,выгиб,поворот,извилина
krüppel;калека,инвалид
kuchen;пирог,сладкий,пирожок,пирожное
kuckuck;кукушка
kugel;шар,шарик,пуля,ядро
kugelförmig;шарообразный,шаровидный
kugelsicher;пуленепробиваемый
kuh;корова
kultur;культура
kulturell;культурный
kummer;горе,печаль
kunde;покупатель,клиент
kundgebung;демонстрация,манифестация,митинг
kundschaft;покупатели,клиентура
kunst;искусство
kunstdünger;минеральное удобрение
kunstgriff;прием,способ,трюк,уловка
kunstseide;искусственный шелк
kunststoff;синтетический материал,пластмасса
kunststück;фокус,трюк
kunstvoll;искусный
kuppeln;цеплять
kupplung;сцепление,авто
kurbel;рукоятка
kurs m;курс
kurtsichtig;близорукий
kurve;кривая,график,поворот
kurz;короткий,краткий,непродолжительный
kurzwelle;короткие волны,радио
kutte;куртка спортивная,ряса
